service_name,service_url,Topic,Subtopic
Delmanor Prince Edward,https://211ontario.ca/service/88075637/delmanor-prince-edward-delmanor-prince-edward/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Venvi - Kingsway Retirement,https://211ontario.ca/service/88364097/venvi-kingsway-retirement-venvi-kingsway-retirement/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Weston Gardens Retirement Residence,https://211ontario.ca/service/88358900/weston-gardens-retirement-residence-weston-gardens-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Chartwell Retirement Residence - Scarlett Heights,https://211ontario.ca/service/88075633/chartwell-retirement-residence-scarlett-heights-chartwell-retirement-residence-scarlett-heights/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Retirement Suites by the Lake,https://211ontario.ca/service/88072305/retirement-suites-by-the-lake-retirement-suites-by-the-lake/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Chartwell Lansing Retirement Residence,https://211ontario.ca/service/88072572/chartwell-lansing-retirement-residence-chartwell-lansing-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
L'Chaim Retirement Home,https://211ontario.ca/service/88072556/lchaim-retirement-home-lchaim-retirement-home/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Aspira Kensington Place,https://211ontario.ca/service/88072548/aspira-kensington-place-aspira-kensington-place/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Village of Humber Heights,https://211ontario.ca/service/88073728/village-of-humber-heights-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Amica at Bayview Gardens - Retirement Residence,https://211ontario.ca/service/88072609/amica-at-bayview-gardens-retirement-residence-amica-at-bayview-gardens-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Rayoak Place,https://211ontario.ca/service/88072564/rayoak-place-rayoak-place/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Canterbury Place Retirement Residence,https://211ontario.ca/service/92493613/canterbury-place-retirement-residence-canterbury-place-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Delmanor Northtown,https://211ontario.ca/service/88073008/delmanor-northtown-delmanor-northtown/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Forestview Retirement Residence,https://211ontario.ca/service/88359664/forestview-retirement-residence-forestview-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Alexis Lodge Retirement Residence,https://211ontario.ca/service/92365335/alexis-lodge-retirement-residence-alexis-lodge-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Villa Karuna Home for Seniors,https://211ontario.ca/service/88358710/villa-karuna-home-for-seniors-villa-karuna-home-for-seniors/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Dom Lipa Long Term Care Home and Retirement Residence,https://211ontario.ca/service/69799943/dom-lipa-long-term-care-home-and-retirement-residence-dom-lipa-long-term-care-home-and-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
McCowan Retirement Residence,https://211ontario.ca/service/88072204/mccowan-retirement-residence-mccowan-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Shepherd Village,https://211ontario.ca/service/93392172/shepherd-village-shepherd-village/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Shepherd Village,https://211ontario.ca/service/93392181/shepherd-village-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Amica Thornhill - Retirement Community,https://211ontario.ca/service/92862570/amica-thornhill-retirement-community-amica-thornhill-retirement-community/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Sunrise of Thornhill,https://211ontario.ca/service/92494561/sunrise-of-thornhill-sunrise-of-thornhill/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Four Elms Retirement Residence,https://211ontario.ca/service/92494401/four-elms-retirement-residence-four-elms-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Scarborough Retirement Residence,https://211ontario.ca/service/88072317/scarborough-retirement-residence-scarborough-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Cedarbrook Lodge Retirement Residence,https://211ontario.ca/service/88072309/cedarbrook-lodge-retirement-residence-cedarbrook-lodge-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Chartwell Gibson Retirement Residence,https://211ontario.ca/service/88741451/chartwell-gibson-retirement-residence-chartwell-gibson-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
McNicoll Manor / Moll Berczy Haus,https://211ontario.ca/service/88741445/mcnicoll-manor--moll-berczy-haus-mcnicoll-manor--moll-berczy-haus/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Chartwell Constantia Retirement Residence,https://211ontario.ca/service/92494078/chartwell-constantia-retirement-residence-chartwell-constantia-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Glynnwood Retirement Residence,https://211ontario.ca/service/93392352/glynnwood-retirement-residence-glynnwood-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Retirement homes
Sts Peter and Paul Residence,https://211ontario.ca/service/69797583/sts-peter-and-paul-residence-sts-peter-and-paul-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Ehatare Retirement Home,https://211ontario.ca/service/88181219/ehatare-retirement-home-ehatare-retirement-home/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Casa Dolce Casa,https://211ontario.ca/service/92494123/casa-dolce-casa-casa-dolce-casa/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Villa Da Vinci Retirement Residence,https://211ontario.ca/service/69802955/villa-da-vinci-retirement-residence-villa-da-vinci-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Amica Unionville,https://211ontario.ca/service/92494514/amica-unionville-amica-unionville/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
VIVA Thornhill Woods,https://211ontario.ca/service/92494393/viva-thornhill-woods-viva-thornhill-woods/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Sunrise of Richmond Hill,https://211ontario.ca/service/93112775/sunrise-of-richmond-hill-sunrise-of-richmond-hill/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Bethany Lodge,https://211ontario.ca/service/93593767/bethany-lodge-independent-living/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Chartwell Valley Vista Retirement,https://211ontario.ca/service/92494033/chartwell-valley-vista-retirement-chartwell-valley-vista-retirement/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Sunrise of Unionville,https://211ontario.ca/service/93112771/sunrise-of-unionville-sunrise-of-unionville/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Chateau Glengarry Retirement Facility,https://211ontario.ca/service/68956915/chateau-glengarry-retirement-facility-chateau-glengarry-retirement-facility/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Manoir McGill Manor,https://211ontario.ca/service/68975418/manoir-mcgill-manor-manoir-mcgill-manor-342-mcgill/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
Manoir McGill Manor,https://211ontario.ca/service/91597995/manoir-mcgill-manor-manoir-mcgill-manor-261-mcgill/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Retirement homes
12530457 Canada Foundation,https://211ontario.ca/service/73371870/12530457-canada-foundation-helping-hands/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Carefirst Seniors and Community Services Association,https://211ontario.ca/service/69799857/carefirst-seniors-and-community-services-association-south-toronto-office--helena-lam-community-services-centre/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Centres d'Accueil Héritage,https://211ontario.ca/service/69799928/centres-daccueil-heritage-adult-programs/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Society of Sharing: Inner-City Volunteers,https://211ontario.ca/service/93014391/society-of-sharing-inner-city-volunteers-escort-program/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Dixon Hall,https://211ontario.ca/service/69794997/dixon-hall-community-support-and-family-services/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Native Canadian Centre of Toronto,https://211ontario.ca/service/69796021/native-canadian-centre-of-toronto-native-canadian-centre-of-toronto/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
West Neighbourhood House,https://211ontario.ca/service/69800328/west-neighbourhood-house-older-adult-services/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
WoodGreen Community Services,https://211ontario.ca/service/69798125/woodgreen-community-services-community-care-and-wellness-unit-danforth/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Toronto Ride,https://211ontario.ca/service/92498538/toronto-ride-toronto-ride/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
SPRINT Senior Care,https://211ontario.ca/service/69797422/sprint-senior-care-sprint-senior-care/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Reconnect Health Services,https://211ontario.ca/service/79468152/reconnect-health-services-services-for-seniors-torontobloor/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Reconnect Health Services,https://211ontario.ca/service/74725722/reconnect-health-services-services-for-seniors-yorkeglinton/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Stonegate Community Health Centre,https://211ontario.ca/service/93595398/stonegate-community-health-centre-seniors-programs/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
South Riverdale Community Health Centre - SRCHC,https://211ontario.ca/service/93595336/south-riverdale-community-health-centre-srchc-transportation/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Better Living Health and Community Services,https://211ontario.ca/service/69799833/better-living-health-and-community-services-health-and-community-services-for-seniors/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
CommunitiCare Health,https://211ontario.ca/service/69797556/communiticare-health-seniors-services/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
Warden Woods Community Centre,https://211ontario.ca/service/69800872/warden-woods-community-centre-seniors-and-assisted-living/?searchLocation=Toronto&topicPath=150&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Transportation for older adults
